Datetime,Max_Demand_MW,Peak_Shortage_MW,Energy_Met_MU
2014-07-29,134286.0,-830.0,2892.4
2014-07-30,133347.0,3316.0,2870.5
2014-07-31,270996.0,11474.0,5789.6
2014-08-01,135856.0,6027.0,2937.7
2014-08-02,134462.0,7032.0,2909.3
2014-08-03,135848.0,6068.0,2920.9
2014-08-04,131820.0,6166.0,2834.1
2014-08-05,135524.0,3615.0,2881.1
2014-08-06,133695.0,4952.0,2833.3
2014-08-07,133823.0,4517.0,2879.6
2014-08-08,135212.0,5291.0,2909.8
2014-08-09,135570.0,5156.0,2917.2
2014-08-10,269846.0,9910.0,5792.2
2014-08-11,128930.0,5381.0,2765.5
2014-08-12,136284.0,5634.0,2837.7
2014-08-13,137366.0,3841.0,2910.6
2014-08-14,138825.0,6218.0,2972.3
2014-08-16,131165.0,4487.0,2820.4
2014-08-17,267652.0,14762.0,5722.8
2014-08-19,136509.0,8604.0,2936.9
2014-08-20,139703.0,9352.0,3004.7
2014-08-21,140640.0,6608.0,3021.0
2014-08-22,145110.0,8881.0,3086.1
2014-08-23,144344.0,7420.0,3103.5
2014-08-24,141179.0,8470.0,3075.4
2014-08-25,138242.0,6036.0,2992.7
2014-08-26,141928.0,9450.0,3051.3
2014-08-27,142213.0,9180.0,3076.8
2014-08-28,136147.0,11038.0,3019.9
2014-08-29,136268.0,10703.0,2964.4
2014-08-30,134734.0,7627.0,2913.3
2014-08-31,134884.0,6740.0,2936.0
2014-09-01,129087.0,5708.0,2796.6
2014-09-02,130865.0,4263.0,2784.2
2014-09-03,131796.0,5505.0,2777.4
2014-09-04,130912.0,4821.0,2795.4
2014-09-05,128373.0,3812.0,2723.7
2014-09-06,127525.0,6094.0,2670.2000000000003
2014-09-07,250968.0,10960.0,5265.4
2014-09-08,120528.0,5093.0,2583.8
2014-09-09,126015.0,5433.0,2648.4
2014-09-10,127969.0,6386.0,2747.1
2014-09-11,130209.0,5848.0,2795.7999999999997
2014-09-12,132725.0,4284.0,2832.2
2014-09-13,132161.0,6008.0,2829.9
2014-09-14,131436.0,5908.0,2824.1
2014-09-15,126778.0,5192.0,2747.3
2014-09-16,132841.0,7359.0,2828.6
2014-09-17,133824.0,9004.0,2882.1
2014-09-18,270654.0,12532.0,5819.8
2014-09-19,138056.0,8529.0,2964.8
2014-09-20,138176.0,8316.0,3038.4
2014-09-21,138112.0,7128.0,3002.0
2014-09-22,135866.0,5688.0,2933.5
2014-09-23,139426.0,9306.0,3009.5
2014-09-24,140242.0,9465.0,3032.8
2014-09-25,284006.0,18192.0,6122.0
2014-09-26,143538.0,6324.0,3062.0
2014-09-27,142372.0,7621.0,3068.8
2014-09-28,141724.0,9722.0,3056.2999999999997
2014-09-29,139693.0,9559.0,3028.7
2014-09-30,134958.0,12204.0,3059.1
2014-10-01,141623.0,11497.0,3077.5
2014-10-02,138789.0,12201.0,3059.3
2014-10-03,138163.0,5777.0,3013.4
2014-10-04,136296.0,5319.0,2992.6
2014-10-05,142554.0,7108.0,3044.1
2014-10-06,141076.0,6560.0,3059.7000000000003
2014-10-07,143570.0,8318.0,3096.2
2014-10-08,140985.0,9402.0,3062.5
2014-10-09,142097.0,7681.0,2992.1
2014-10-10,140435.0,6808.0,3004.4
2014-10-11,138285.0,9590.0,3013.8
2014-10-12,139414.0,8760.0,3027.0
2014-10-13,132665.0,7964.0,2839.2
2014-10-14,136051.0,10810.0,2864.0
2014-10-15,133914.0,6634.0,2828.4
2014-10-16,131843.0,8033.0,2831.1
2014-10-17,133876.0,8709.0,2868.0
2014-10-18,134084.0,8410.0,2873.6
2014-10-19,132143.0,9215.0,2824.0
2014-10-20,128980.0,8330.0,2759.7
2014-10-21,133413.0,8039.0,2838.5
2014-10-22,136697.0,5127.0,2876.6
2014-10-23,135870.0,4966.0,2832.4
2014-10-24,129409.0,3220.0,2681.4
2014-10-25,126580.0,2991.0,2627.7
2014-10-26,126470.0,4256.0,2611.6
2014-10-27,121974.0,3885.0,2550.2
2014-10-28,127823.0,5575.0,2659.8
2014-10-29,129753.0,6463.0,2708.6
2014-10-30,131386.0,5242.0,2728.7
2014-10-31,135642.0,4889.0,2756.4
2014-11-01,134869.0,7491.0,2802.9
2014-11-02,132345.0,5196.0,2770.3
2014-11-03,128577.0,4004.0,2702.2
2014-11-04,133513.0,5201.0,2778.8
2014-11-05,133445.0,6324.0,2802.2
2014-11-06,135361.0,4819.0,2822.5
2014-11-07,135098.0,6039.0,2844.4
2014-11-08,135198.0,8059.0,2850.8
2014-11-09,135109.0,6393.0,2851.8
2014-11-10,132529.0,4885.0,2788.7
2014-11-11,134010.0,8351.0,2835.3
2014-11-12,135746.0,7581.0,2870.6
2014-11-13,135389.0,5544.0,2840.4
2014-11-14,134253.0,5847.0,2820.9
2014-11-15,133836.0,6585.0,2773.1
2014-11-16,131057.0,5259.0,2743.7
2014-11-17,126982.0,4704.0,2662.2000000000003
2014-11-18,131039.0,5935.0,2739.8
2014-11-19,133584.0,5986.0,2767.5
2014-11-20,133531.0,4380.0,2765.3
2014-11-21,133886.0,3112.0,2800.2
2014-11-22,134503.0,3548.0,2797.6
2014-11-23,133963.0,6875.0,2797.1
2014-11-24,129009.9,5154.0,2695.3
2014-11-25,135439.0,4178.0,2788.4
2014-11-26,135657.0,7563.0,4857.7
2014-11-27,274504.0,13992.0,5666.6
2014-11-28,136572.0,4595.0,2832.0
2014-11-29,135412.0,5678.0,2813.9
2014-11-30,135177.0,6190.0,2813.4
2014-12-01,132086.0,3854.0,2741.7
2014-12-02,135306.0,5235.0,2780.6
2014-12-03,135829.0,4824.0,2809.2
2014-12-04,136252.0,5772.0,2822.2000000000003
2014-12-05,139778.0,6158.0,2854.3
2014-12-06,135826.0,4748.0,2816.1
2014-12-07,136046.0,3585.0,2830.1
2014-12-08,132203.0,4397.0,2766.4
2014-12-09,137458.0,6256.0,2840.9
2014-12-10,138972.0,5588.0,2898.2
2014-12-11,287988.0,10208.0,5740.099999999999
2014-12-12,139594.0,4490.0,2864.5
2014-12-13,276475.0,9784.0,5643.2
2014-12-14,131149.0,4139.0,2705.4
2014-12-15,122148.0,3736.0,2530.0
2014-12-16,129381.0,3603.0,2638.8
2014-12-17,131642.0,4090.0,2695.4
2014-12-18,132898.0,4658.0,2700.8
2014-12-19,132328.0,6114.0,2725.0
2014-12-20,134413.0,5352.0,2747.4
2014-12-21,134384.0,5345.0,2759.5
2014-12-22,131442.0,5359.0,2699.4
